n = 620 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2572313 | dataRider[i].timeRAC = 2716914
n = 625 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2589554 | dataRider[i].timeRAC = 2716919
n = 630 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2672603 | dataRider[i].timeRAC = 2716924
n = 635 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2678264 | dataRider[i].timeRAC = 2716929
n = 640 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2679613 | dataRider[i].timeRAC = 2716934
n = 645 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2687033 | dataRider[i].timeRAC = 2716939
n = 650 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2694609 | dataRider[i].timeRAC = 2716944
n = 655 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2704701 | dataRider[i].timeRAC = 2716949
n = 660 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716624 | dataRider[i].timeRAC = 2716954
n = 665 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716627 | dataRider[i].timeRAC = 2716959
n = 670 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716629 | dataRider[i].timeRAC = 2716964
n = 675 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716632 | dataRider[i].timeRAC = 2716969
n = 680 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716634 | dataRider[i].timeRAC = 2716974
n = 685 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716637 | dataRider[i].timeRAC = 2716979
n = 690 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716639 | dataRider[i].timeRAC = 2716984
n = 695 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716642 | dataRider[i].timeRAC = 2716989
n = 700 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716644 | dataRider[i].timeRAC = 2716994
n = 705 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716647 | dataRider[i].timeRAC = 2716999
n = 710 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716649 | dataRider[i].timeRAC = 2717004
n = 715 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716652 | dataRider[i].timeRAC = 2717009
n = 720 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716654 | dataRider[i].timeRAC = 2717014
n = 725 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716657 | dataRider[i].timeRAC = 2717019
n = 730 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716659 | dataRider[i].timeRAC = 2717024
n = 735 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716662 | dataRider[i].timeRAC = 2717029
n = 740 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716664 | dataRider[i].timeRAC = 2717034
n = 745 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716667 | dataRider[i].timeRAC = 2717039
n = 750 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716669 | dataRider[i].timeRAC = 2717044
n = 755 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716672 | dataRider[i].timeRAC = 2717049
n = 760 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716674 | dataRider[i].timeRAC = 2717054
n = 765 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716677 | dataRider[i].timeRAC = 2717059
n = 770 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716679 | dataRider[i].timeRAC = 2717064
n = 775 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716682 | dataRider[i].timeRAC = 2717069
n = 780 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716684 | dataRider[i].timeRAC = 2717074
n = 785 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716687 | dataRider[i].timeRAC = 2717079
n = 790 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716689 | dataRider[i].timeRAC = 2717084
n = 795 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716692 | dataRider[i].timeRAC = 2717089
n = 800 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716694 | dataRider[i].timeRAC = 2717094
n = 805 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716697 | dataRider[i].timeRAC = 2717099
n = 810 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716699 | dataRider[i].timeRAC = 2717104
n = 815 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716702 | dataRider[i].timeRAC = 2717109
n = 820 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716704 | dataRider[i].timeRAC = 2717114
n = 825 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716707 | dataRider[i].timeRAC = 2717119
n = 830 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716709 | dataRider[i].timeRAC = 2717124
n = 835 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716712 | dataRider[i].timeRAC = 2717129
n = 840 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716714 | dataRider[i].timeRAC = 2717134
n = 845 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716717 | dataRider[i].timeRAC = 2717139
n = 850 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716719 | dataRider[i].timeRAC = 2717144
n = 855 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716722 | dataRider[i].timeRAC = 2717149
n = 860 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716724 | dataRider[i].timeRAC = 2717154
n = 865 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716727 | dataRider[i].timeRAC = 2717159
n = 870 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716729 | dataRider[i].timeRAC = 2717164
n = 875 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716732 | dataRider[i].timeRAC = 2717169
n = 880 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716734 | dataRider[i].timeRAC = 2717174
n = 885 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716737 | dataRider[i].timeRAC = 2717179
n = 890 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716739 | dataRider[i].timeRAC = 2717184
n = 895 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716742 | dataRider[i].timeRAC = 2717189
n = 900 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716744 | dataRider[i].timeRAC = 2717194
n = 905 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716747 | dataRider[i].timeRAC = 2717199
n = 910 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716749 | dataRider[i].timeRAC = 2717204
n = 915 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716752 | dataRider[i].timeRAC = 2717209
n = 920 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716754 | dataRider[i].timeRAC = 2717214
n = 925 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716757 | dataRider[i].timeRAC = 2717219
n = 930 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716759 | dataRider[i].timeRAC = 2717224
n = 935 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716762 | dataRider[i].timeRAC = 2717229
n = 940 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716764 | dataRider[i].timeRAC = 2717234
n = 945 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716767 | dataRider[i].timeRAC = 2717239
n = 950 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716769 | dataRider[i].timeRAC = 2717244
n = 955 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716772 | dataRider[i].timeRAC = 2717249
n = 960 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716774 | dataRider[i].timeRAC = 2717254
n = 965 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716777 | dataRider[i].timeRAC = 2717259
n = 970 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716779 | dataRider[i].timeRAC = 2717264
n = 975 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716782 | dataRider[i].timeRAC = 2717269
n = 980 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716784 | dataRider[i].timeRAC = 2717274
n = 985 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716787 | dataRider[i].timeRAC = 2717279
n = 990 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716789 | dataRider[i].timeRAC = 2717284
n = 995 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716792 | dataRider[i].timeRAC = 2717289
n = 1000 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716794 | dataRider[i].timeRAC = 2717294
n = 1005 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716797 | dataRider[i].timeRAC = 2717299
n = 1010 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716799 | dataRider[i].timeRAC = 2717304
